1,text,text,me,sick, , ,0.0
156,Well. Day two post food poisoning. Can't decide if my stomach hurts or its starving from barely eating for 3 days., Can't decide if my stomach hurts or its starving from barely eating for 3 days,days,decide, , ,0.0
158,Symptoms from the most common types of food poisoning will often start within 2 - 6 hours of eating the food.,Symptoms from the most common types of food poisoning will often start within 2 - 6 hours of eating the food,Symptoms,start, , ,0.0
158,Symptoms from the most common types of food poisoning will often start within 2 - 6 hours of eating the food.,Symptoms from the most common types of food poisoning will often start within 2 - 6 hours of eating the food, ,eating,food, ,0.0
159,@dskolarus42 that happened to me once but it turned out to be food poisoning lol,@dskolarus42 that happened to me once but it turned out to be food poisoning lol,that,happened, , ,0.0
159,@dskolarus42 that happened to me once but it turned out to be food poisoning lol,@dskolarus42 that happened to me once but it turned out to be food poisoning lol,it,turned, , ,0.0
159,@dskolarus42 that happened to me once but it turned out to be food poisoning lol,@dskolarus42 that happened to me once but it turned out to be food poisoning lol,it,lol, , ,0.0
160,Prettyy sure I have food poisoning... That or Ebola (thanks a lot @JeniScarlett !),Prettyy sure I have food poisoning,I,have,poisoning, ,0.9
161,@Miguel_M1GS I was traveling and then got food poisoning. :(,@Miguel_M1GS I was traveling and then got food poisoning,I,traveling, , ,0.0
161,@Miguel_M1GS I was traveling and then got food poisoning. :(,@Miguel_M1GS I was traveling and then got food poisoning,I,got,poisoning, ,0.9
165,@culvers thanks for the food poisoning â�?¤ï¸�?,@culvers thanks for the food poisoning ,thanks,@culvers, ,poisoning,0.0
166,Probably shouldn't eat sushi when I'm home sick with food poisoning...right? #cravings,Probably shouldn't eat sushi when I'm home sick with food poisoning, ,eat,sushi, ,0.0
166,Probably shouldn't eat sushi when I'm home sick with food poisoning...right? #cravings,Probably shouldn't eat sushi when I'm home sick with food poisoning,I,sick, ,poisoning,0.8
167,Day three of mild food poisoning is less fun than you think it would be #tummyache,Day three of mild food poisoning is less fun than you think it would be #tummyache,Day,fun, ,poisoning,0.0
167,Day three of mild food poisoning is less fun than you think it would be #tummyache,Day three of mild food poisoning is less fun than you think it would be #tummyache,you,think, , ,0.0
167,Day three of mild food poisoning is less fun than you think it would be #tummyache,Day three of mild food poisoning is less fun than you think it would be #tummyache,it,#tummyache, , ,0.0
169,I feel like i got food poisoning í ½í¸í ½í¸,I feel like i got food poisoning ,I,feel, , ,0.0
169,I feel like i got food poisoning í ½í¸í ½í¸,I feel like i got food poisoning ,i,got,poisoning, ,0.9
170,Thank You @Subway for giving me food poisoning and for that here's a big FUCK YOU,thank you @subway for giving me food poisoning , ,thank,you, ,0.0
170,Thank You @Subway for giving me food poisoning and for that here's a big FUCK YOU,thank you @subway for giving me food poisoning , ,giving,poisoning, ,0.6
171,Like I'm hot and cold at the same time...do I have food poisoning í ½í¸³,do I have food poisoning ,I,have,poisoning, ,0.9
173,Between my blocked salivary gland last week and yesterday's horrific food poisoning! I should be down a pant size! right? #thatshowthisworks,Between my blocked salivary gland last week and yesterday's horrific food poisoning! I should be down a pant size! right? #thatshowthisworks,I,be, , ,0.0
174,Nothing makes getting over food poisoning more delightful than seeing an ad for something called a Cookie Butter Burger. #gross,Nothing makes getting over food poisoning more delightful than seeing an ad for something called a Cookie Butter Burger,Nothing,makes, , ,0.0
174,Nothing makes getting over food poisoning more delightful than seeing an ad for something called a Cookie Butter Burger. #gross,Nothing makes getting over food poisoning more delightful than seeing an ad for something called a Cookie Butter Burger, ,getting,poisoning, ,0.6
174,Nothing makes getting over food poisoning more delightful than seeing an ad for something called a Cookie Butter Burger. #gross,Nothing makes getting over food poisoning more delightful than seeing an ad for something called a Cookie Butter Burger, ,seeing,ad, ,0.0
174,Nothing makes getting over food poisoning more delightful than seeing an ad for something called a Cookie Butter Burger. #gross,Nothing makes getting over food poisoning more delightful than seeing an ad for something called a Cookie Butter Burger, ,called,Burger, ,0.0
175,@LouMalnatis I love your pizza so much. But is it possible that the spinach pie gave me food poisoning today? Sure seems like something did.,@LouMalnatis I love your pizza so much,I,love,pizza, ,0.0
175,@LouMalnatis I love your pizza so much. But is it possible that the spinach pie gave me food poisoning today? Sure seems like something did.,@LouMalnatis I love your pizza so much,much,@LouMalnatis, , ,0.0
175,@LouMalnatis I love your pizza so much. But is it possible that the spinach pie gave me food poisoning today? Sure seems like something did., But is it possible that the spinach pie gave me food poisoning today? Sure seems like something did,pie,gave,poisoning, ,0.6
175,@LouMalnatis I love your pizza so much. But is it possible that the spinach pie gave me food poisoning today? Sure seems like something did., But is it possible that the spinach pie gave me food poisoning today? Sure seems like something did,Sure,seems, , ,0.0
175,@LouMalnatis I love your pizza so much. But is it possible that the spinach pie gave me food poisoning today? Sure seems like something did., But is it possible that the spinach pie gave me food poisoning today? Sure seems like something did,something,did, , ,0.0
176,@Px2814 @karend_ it's the only thing i can ever keep down when i have food poisoning! as now. No go on water.,@Px2814 @karend_ it's the only thing i can ever keep down when i have food poisoning! as now,@Px2814,@karend_, , ,0.0
176,@Px2814 @karend_ it's the only thing i can ever keep down when i have food poisoning! as now. No go on water.,@Px2814 @karend_ it's the only thing i can ever keep down when i have food poisoning! as now,it,thing, , ,0.0
176,@Px2814 @karend_ it's the only thing i can ever keep down when i have food poisoning! as now. No go on water.,@Px2814 @karend_ it's the only thing i can ever keep down when i have food poisoning! as now,i,keep, , ,0.0
176,@Px2814 @karend_ it's the only thing i can ever keep down when i have food poisoning! as now. No go on water.,@Px2814 @karend_ it's the only thing i can ever keep down when i have food poisoning! as now,i,have,food, ,0.0
176,@Px2814 @karend_ it's the only thing i can ever keep down when i have food poisoning! as now. No go on water., No go on water,No,go, , ,0.0
177,@WholeFoods mgmt stinks. When someone gets food poisoning at your store! you want to do everything you can to keep them. They don't. Run.,@WholeFoods mgmt stinks,stinks,@WholeFoods, , ,0.0
177,@WholeFoods mgmt stinks. When someone gets food poisoning at your store! you want to do everything you can to keep them. They don't. Run., When someone gets food poisoning at your store! you want to do everything you can to keep them,someone,gets,food, ,0.0
177,@WholeFoods mgmt stinks. When someone gets food poisoning at your store! you want to do everything you can to keep them. They don't. Run., When someone gets food poisoning at your store! you want to do everything you can to keep them, ,want,poisoning, ,0.0
177,@WholeFoods mgmt stinks. When someone gets food poisoning at your store! you want to do everything you can to keep them. They don't. Run., When someone gets food poisoning at your store! you want to do everything you can to keep them,poisoning,do, , ,0.0
177,@WholeFoods mgmt stinks. When someone gets food poisoning at your store! you want to do everything you can to keep them. They don't. Run., When someone gets food poisoning at your store! you want to do everything you can to keep them,you,want, , ,0.0
177,@WholeFoods mgmt stinks. When someone gets food poisoning at your store! you want to do everything you can to keep them. They don't. Run., When someone gets food poisoning at your store! you want to do everything you can to keep them, ,do,everything, ,0.0
177,@WholeFoods mgmt stinks. When someone gets food poisoning at your store! you want to do everything you can to keep them. They don't. Run., When someone gets food poisoning at your store! you want to do everything you can to keep them,you,can, , ,0.0
177,@WholeFoods mgmt stinks. When someone gets food poisoning at your store! you want to do everything you can to keep them. They don't. Run., When someone gets food poisoning at your store! you want to do everything you can to keep them,you,keep,them, ,0.0
177,@WholeFoods mgmt stinks. When someone gets food poisoning at your store! you want to do everything you can to keep them. They don't. Run., They don't,They,do, , ,0.0
180,skills include: being able to teach a makeup tutorial about how to cover up all your broken blood vessels after a 3am food poisoning bout.,skills include: being able to teach a makeup tutorial about how to cover up all your broken blood vessels after a 3am food poisoning bout,skills,include, , ,0.0
180,skills include: being able to teach a makeup tutorial about how to cover up all your broken blood vessels after a 3am food poisoning bout.,skills include: being able to teach a makeup tutorial about how to cover up all your broken blood vessels after a 3am food poisoning bout, ,teach,tutorial, ,0.0
180,skills include: being able to teach a makeup tutorial about how to cover up all your broken blood vessels after a 3am food poisoning bout.,skills include: being able to teach a makeup tutorial about how to cover up all your broken blood vessels after a 3am food poisoning bout, ,cover,vessels, ,0.0
181,Google Drive workshop gonna be a blast after food poisoning yesterday.,Google Drive workshop gonna be a blast after food poisoning yesterday,Drive,workshop, , ,0.0
182,I think Hardee's just gave me food poisoning,I think Hardee's just gave me food poisoning,I,think, , ,100.0
182,I think Hardee's just gave me food poisoning,I think Hardee's just gave me food poisoning,Hardee,gave,poisoning, ,0.6
183,food poisoning is so much fun,food poisoning is so much fun,poisoning,fun, , ,0.0
184,@bibliogrrl I thought mine was food poisoning at first too. But I'm pretty sure I had a fever and aches and pains.,@bibliogrrl I thought mine was food poisoning at first too,I,thought, , ,0.0
184,@bibliogrrl I thought mine was food poisoning at first too. But I'm pretty sure I had a fever and aches and pains.,@bibliogrrl I thought mine was food poisoning at first too,mine,poisoning, , ,0.0
184,@bibliogrrl I thought mine was food poisoning at first too. But I'm pretty sure I had a fever and aches and pains., But I'm pretty sure I had a fever and aches and pains,I,sure, , ,0.0
184,@bibliogrrl I thought mine was food poisoning at first too. But I'm pretty sure I had a fever and aches and pains., But I'm pretty sure I had a fever and aches and pains,I,had,aches, ,0.0
185,I'm sorry but you do not get food poisoning from cheetos.,I'm sorry but you do not get food poisoning from cheetos,I,sorry, , ,0.0
185,I'm sorry but you do not get food poisoning from cheetos.,I'm sorry but you do not get food poisoning from cheetos,you,get,poisoning, ,0.0
186,â«It's my birthday and I can turn my assignment in a week late if I want to,It's my birthday and I can turn my assignment in a week late if I want to,It,birthday, , ,0.0
186,â«It's my birthday and I can turn my assignment in a week late if I want to,It's my birthday and I can turn my assignment in a week late if I want to,I,turn,assignment, ,0.0
186,â«It's my birthday and I can turn my assignment in a week late if I want to,It's my birthday and I can turn my assignment in a week late if I want to,I,want, , ,0.0
187,â«You would turn it in late too if food poisoning happened to youu,You would turn it in late too if food poisoning happened to youu,You,turn,it, ,0.0
187,â«You would turn it in late too if food poisoning happened to youu,You would turn it in late too if food poisoning happened to youu,poisoning,happened, , ,0.0
187,â«You would turn it in late too if food poisoning happened to youu,You would turn it in late too if food poisoning happened to youu,poisoning,youu, , ,0.0
188,Every time I plan to get a flu shot! I get sick again. Ugh! fuck you! stomach virus. Or food poisoning. Whichever.,Every time I plan to get a flu shot! I get sick again,time,shot, , ,0.0
188,Every time I plan to get a flu shot! I get sick again. Ugh! fuck you! stomach virus. Or food poisoning. Whichever.,Every time I plan to get a flu shot! I get sick again,I,plan, , ,0.0
188,Every time I plan to get a flu shot! I get sick again. Ugh! fuck you! stomach virus. Or food poisoning. Whichever.,Every time I plan to get a flu shot! I get sick again,I,get,flu, ,0.0
188,Every time I plan to get a flu shot! I get sick again. Ugh! fuck you! stomach virus. Or food poisoning. Whichever.,Every time I plan to get a flu shot! I get sick again,I,sick, , ,0.0
188,Every time I plan to get a flu shot! I get sick again. Ugh! fuck you! stomach virus. Or food poisoning. Whichever., Ugh! fuck you! stomach virus, ,fuck,you, ,0.0
188,Every time I plan to get a flu shot! I get sick again. Ugh! fuck you! stomach virus. Or food poisoning. Whichever., Ugh! fuck you! stomach virus,virus,fuck, , ,0.0
189,Possibly have food poisoning the night before the exam so this great,Possibly have food poisoning the night before the exam so this great, ,have,poisoning, ,0.6
189,Possibly have food poisoning the night before the exam so this great,Possibly have food poisoning the night before the exam so this great,great,have, , ,0.0
190,@GreenieJules Like the joy of cooking except you will get food poisoning instead. Lol.,@GreenieJules Like the joy of cooking except you will get food poisoning instead,you,get,poisoning, ,0.0
192,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,I,think, , ,100.0
192,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,I,person, , ,0.0
192,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,person,puke, , ,0.0
192,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,person,get, , ,0.0
192,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering, ,puke,it, ,0.0
192,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,I think I'm the only person on earth who can't just puke and get it over with when I have food poisoning #ridiculous #ReallySuffering,I,have,#ridiculous, ,0.0
193,Lol I'm having asthma attacks and food poisoning and I have a 9-10 hr work day planned today,lol i'm having asthma attacks ,i,having,attacks, ,0.0
194,I would get food poisoning the night before my midtermí ½í¸,I would get food poisoning the night before my midterm,I,get,poisoning, ,0.0
195,surprised it took this long for my cooking to give myself food poisoning,surprised it took this long for my cooking to give myself food poisoning,it,took, , ,0.0
195,surprised it took this long for my cooking to give myself food poisoning,surprised it took this long for my cooking to give myself food poisoning,long,surprised, , ,0.0
195,surprised it took this long for my cooking to give myself food poisoning,surprised it took this long for my cooking to give myself food poisoning, ,give,poisoning, ,0.6
196,Food poisoning sucks. I'm afraid to sneeze., I'm afraid to sneeze,I,afraid, , ,0.0
196,Food poisoning sucks. I'm afraid to sneeze., I'm afraid to sneeze,I,sneeze, , ,0.0
197,Able to eat rice today! Food poisoning gone. Need to return all my groceries to @WholeFoods. Food poisoning 2x this year. No thanks WF.,Able to eat rice today! Food poisoning gone, ,eat,rice, ,0.0
197,Able to eat rice today! Food poisoning gone. Need to return all my groceries to @WholeFoods. Food poisoning 2x this year. No thanks WF.,Able to eat rice today! Food poisoning gone,Food,Able, , ,0.0
197,Able to eat rice today! Food poisoning gone. Need to return all my groceries to @WholeFoods. Food poisoning 2x this year. No thanks WF.,Able to eat rice today! Food poisoning gone,Food,eat, , ,0.0
197,Able to eat rice today! Food poisoning gone. Need to return all my groceries to @WholeFoods. Food poisoning 2x this year. No thanks WF., Need to return all my groceries to @WholeFoods, ,return,groceries, ,0.0
198,So happy I'm finally feeling better!  Food poisoning is a bitch! Thanks to my love! he was there all night and day taking care of me!,So happy I'm finally feeling better!  Food poisoning is a bitch! Thanks to my love! he was there all night and day taking care of me!,I,feeling, , ,0.0
198,So happy I'm finally feeling better!  Food poisoning is a bitch! Thanks to my love! he was there all night and day taking care of me!,So happy I'm finally feeling better!  Food poisoning is a bitch! Thanks to my love! he was there all night and day taking care of me!,he,night, , ,0.0
198,So happy I'm finally feeling better!  Food poisoning is a bitch! Thanks to my love! he was there all night and day taking care of me!,So happy I'm finally feeling better!  Food poisoning is a bitch! Thanks to my love! he was there all night and day taking care of me!, ,taking,care, ,0.0
199,Have to admit! food poisoning has taught me that you have to slow down sometimes. #LifeInTheFastLane #TicketedForSpeeding,Have to admit! food poisoning has taught me that you have to slow down sometimes,poisoning,taught,me, ,0.0
199,Have to admit! food poisoning has taught me that you have to slow down sometimes. #LifeInTheFastLane #TicketedForSpeeding,Have to admit! food poisoning has taught me that you have to slow down sometimes,you,have, , ,0.0
199,Have to admit! food poisoning has taught me that you have to slow down sometimes. #LifeInTheFastLane #TicketedForSpeeding,Have to admit! food poisoning has taught me that you have to slow down sometimes,you,slow, , ,0.0
